system:index,auc,band_tag,blockSize_m,embedding_year,fold,kFolds,nBands,n_eval,n_neg,n_pos,run,scale_m,seedBgEval,seedBgHoldout,seedBgTrain,seedSplit,species,.geo
2_1_7,0.9288060479666319,A00_A31,100000,2023,7.0,10,32,1482,1370,112,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_8,0.9160076166296414,A00_A31,100000,2023,8.0,10,32,1485,1370,115,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_9,0.9299722740904204,A00_A31,100000,2023,9.0,10,32,1499,1370,129,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_0,0.9329188216681485,A00_A31,100000,2023,-1,10,32,5567,5097,470,holdout,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1_0,0.9356674502041321,A00_A63,100000,2023,0.0,10,64,1488,1370,118,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1_1,0.9346095579121333,A00_A63,100000,2023,1.0,10,64,1476,1370,106,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1_2,0.9253818315647427,A00_A63,100000,2023,2.0,10,64,1489,1370,119,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1_3,0.9332693046484826,A00_A63,100000,2023,3.0,10,64,1484,1370,114,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1_4,0.9342978797358359,A00_A63,100000,2023,4.0,10,64,1454,1370,84,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1_5,0.9390871901820806,A00_A63,100000,2023,5.0,10,64,1461,1370,91,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1_6,0.9341564908929668,A00_A63,100000,2023,6.0,10,64,1477,1370,107,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1_7,0.9348344629822732,A00_A63,100000,2023,7.0,10,64,1482,1370,112,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1_8,0.9166423357664234,A00_A63,100000,2023,8.0,10,64,1485,1370,115,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1_9,0.9315905618740452,A00_A63,100000,2023,9.0,10,64,1499,1370,129,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2_0,0.9344053030777387,A00_A63,100000,2023,-1,10,64,5567,5097,470,holdout,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
